function	opt	time	error	minima	coordinates
rosenbrock	512	0.02210508728027344	0.00000040693633869	0.00000000000021340	1.00000000577369597,0.99999999139090034,0.99999998798305201,0.99999999179851051,0.99999998854853245,0.99999996938888325,0.99999994531247272,0.99999991394651133,0.99999983225009292,0.99999964549481857
rastrigin	512	0.00899276828765869	2.22479489601866653	4.97479455991864938	0.00000017806378332,0.99495863492894432,-0.00000019258326846,0.99495852450338940,-0.99495852154385889,-0.99495866477458073,0.99495827774140677,-0.00000029717829415,0.00000013456235067,-0.00000000010885891
ackley	512	0.02150195121765137	0.00000000000282719	0.00000000000357803	-0.00000000000151044,-0.00000000000079279,-0.00000000000064889,0.00000000000014782,-0.00000000000031318,-0.00000000000014107,0.00000000000172581,-0.00000000000102403,0.00000000000070315,-0.00000000000002530
rosenbrock	2048	0.02267033576965332	0.00000006674990995	0.00000000000006328	1.00000000177411486,0.99999999901105052,0.99999999334440581,0.99999999950935836,0.99999999423104757,0.99999999853915178,0.99999999856186639,1.00000000857302629,1.00000002967550183,1.00000005844032858
rastrigin	2048	0.00945356845855713	1.72331047891214717	2.98487659767079982	0.00001733081193620,-0.00002291516277377,0.99494805048213542,0.99495590101959897,0.00001565682396817,0.00002032627344383,-0.00001593310829914,-0.00002184841095313,0.00000694484727738,0.99495735402744112
ackley	2048	0.02175078392028808	0.00000000000282719	0.00000000000357803	-0.00000000000151044,-0.00000000000079279,-0.00000000000064889,0.00000000000014782,-0.00000000000031318,-0.00000000000014107,0.00000000000172581,-0.00000000000102403,0.00000000000070315,-0.00000000000002530
rosenbrock	8192	0.02270822334289551	0.00000006674990995	0.00000000000006328	1.00000000177411486,0.99999999901105052,0.99999999334440581,0.99999999950935836,0.99999999423104757,0.99999999853915178,0.99999999856186639,1.00000000857302629,1.00000002967550183,1.00000005844032858
rastrigin	8192	0.00980480003356934	1.40707296347627109	1.98991797276977778	-0.00000485942890659,-0.00001107373910922,-0.00000503240951903,0.00000794906586474,0.00001029633605272,-0.00000179937928395,-0.99494698516367519,0.99495468236530649,0.00001201227211926,0.00002847209423168
ackley	8192	0.02227712059020996	0.00000000000157806	0.00000000000199707	0.00000000000015441,-0.00000000000013293,-0.00000000000059904,0.00000000000042367,0.00000000000003699,-0.00000000000044072,-0.00000000000031634,0.00000000000058348,0.00000000000104980,0.00000000000041498
rosenbrock	32768	0.04225459289550781	0.00000007023195102	0.00000000000004968	0.99999999756502400,0.99999999771956882,0.99999999404692408,0.99999999927524075,0.99999999285763819,0.99999998754293440,0.99999998441411897,0.99999998178764549,0.99999997098772031,0.99999994287803096
rastrigin	32768	0.01964579200744629	0.99496211965017212	0.99495879388567410	0.99496211824526581,-0.00000049635631253,-0.00000038900582195,-0.00000929545459715,-0.00001310680877591,0.00001553369422224,0.00003429481598774,-0.00001979257701756,0.00000211786356031,0.00002689617218654
ackley	32768	0.04289980697631836	0.00000000000053457	0.00000000000067901	-0.00000000000003398,-0.00000000000000212,0.00000000000014557,-0.00000000000004291,0.00000000000001947,0.00000000000029333,-0.00000000000022283,-0.00000000000020321,0.00000000000028972,0.00000000000001639
rosenbrock	131072	0.11267443084716797	0.00000002498019698	0.00000000000002976	1.00000000394780253,1.00000000402439859,0.99999999811089302,1.00000000211442841,1.00000000428302194,1.00000000219111329,0.99999999897728153,1.00000000320445515,1.00000000759132091,1.00000002218336959
rastrigin	131072	0.05147667312622070	0.00001646077368944	0.00000000027095304	-0.00000380313622503,-0.00001163739913031,-0.00000101388826387,0.00000762815374197,-0.00000456271121740,-0.00000068566917506,0.00000057684925011,-0.00000116683563434,0.00000531505218409,-0.00000325805951794
ackley	131072	0.12093593597412110	0.00000000000053457	0.00000000000067901	-0.00000000000003398,-0.00000000000000212,0.00000000000014557,-0.00000000000004291,0.00000000000001947,0.00000000000029333,-0.00000000000022283,-0.00000000000020321,0.00000000000028972,0.00000000000001639
rosenbrock	524288	0.40030960083007811	0.00000005765782789	0.00000000000001239	0.99999999842839493,1.00000000041350567,1.00000000075539974,1.00000000316370019,1.00000000424495972,1.00000000529812239,1.00000001014560591,1.00000001415832496,1.00000002272200672,1.00000004945132659
rastrigin	524288	0.19411843872070311	0.00001646077368944	0.00000000027095304	-0.00000380313622503,-0.00001163739913031,-0.00000101388826387,0.00000762815374197,-0.00000456271121740,-0.00000068566917506,0.00000057684925011,-0.00000116683563434,0.00000531505218409,-0.00000325805951794
